"customerID","tenure","monthly_charges","Contract","churn","total_charges"
"7569-NMZYQ",72,118.75,Two year,No,8672.45
"9739-JLPQJ",72,117.5,Two year,No,8670.1
"9788-HNGUT",72,116.95,Two year,No,8594.4
"8879-XUAHX",71,116.25,Two year,No,8564.75
"9924-JPRMC",72,118.2,Two year,No,8547.15
"0675-NCDYU",72,116.4,Two year,No,8543.25
"6650-BWFRT",72,117.15,Two year,No,8529.5
"0164-APGRB",72,114.9,Two year,No,8496.7
"1488-PBLJN",72,116.85,Two year,No,8477.7
"8984-HPEMB",71,118.65,Two year,No,8477.6
"6007-TCTST",72,115.8,Two year,No,8476.5
"4376-KFVRS",72,114.05,Two year,No,8468.2
"0017-IUDMW",72,116.8,Two year,No,8456.75
"5451-YHYPW",72,115.75,Two year,No,8443.7
"6904-JLBGY",72,117.35,Two year,No,8436.25
"8263-QMNTJ",72,115.55,Two year,No,8425.3
"8015-IHCGW",72,115.5,Two year,No,8425.15
"5914-XRFQB",72,115.8,Two year,No,8424.9
"8454-AATJP",72,115.05,Two year,No,8405.0
"1480-BKXGA",72,116.05,Two year,No,8404.9
"8606-CIQUL",72,115.75,Two year,No,8399.15
"7359-WWYJV",72,114.45,Two year,No,8375.05
"2380-DAMQP",72,115.15,Two year,No,8349.7
"0906-QVPMS",72,115.15,Two year,No,8349.45
"3258-ZKPAI",72,116.6,Two year,No,8337.45
"1779-PWPMG",72,114.65,Two year,No,8333.95
"8513-OLYGY",72,115.8,Two year,No,8332.15
"5135-GRQJV",72,114.5,Two year,No,8331.95
"2388-LAESQ",72,114.85,Two year,No,8317.95
"9298-WGMRW",72,115.5,Two year,No,8312.75
"2121-JAFOM",72,115.55,Two year,No,8312.4
"8975-SKGRX",71,116.1,Two year,No,8310.55
"0186-CAERR",71,116.3,One year,No,8309.55
"3810-DVDQQ",72,117.6,Two year,No,8308.9
"8207-DMRVL",72,114.55,Two year,No,8306.05
"2223-GDSHL",71,116.05,Two year,No,8297.5
"3892-NXAZG",72,114.05,Two year,No,8289.2
"8628-MFKAX",72,116.75,Two year,No,8277.05
"3396-DKDEL",70,115.15,Two year,No,8250.0
"6859-QNXIQ",72,113.1,Two year,No,8248.5
"7929-SKFGK",70,114.3,Two year,No,8244.3
"9351-HXDMR",72,110.9,Two year,No,8240.85
"1352-HNSAW",72,115.6,Two year,No,8220.4
"6919-ELBGL",72,114.95,Two year,No,8196.4
"5183-KLYEM",72,112.75,Two year,No,8192.6
"0106-UGRDO",69,116.0,Two year,No,8182.85
"5038-ETMLM",72,113.65,Two year,No,8182.75
"3726-TBHQT",71,114.0,Two year,No,8175.9
"9258-CNWAC",71,113.65,Two year,No,8166.8
"0536-ACXIP",72,109.55,Two year,No,8165.1
"8670-ERCJH",72,113.4,Two year,No,8164.1
"3795-CAWEX",70,116.55,Two year,No,8152.3
"9680-NIAUV",72,109.7,Two year,No,8129.3
"3520-FJGCV",72,112.6,Two year,No,8126.65
"9239-GZHZE",72,113.65,Two year,No,8124.2
"2040-XBAVJ",72,114.45,Two year,No,8100.55
"5322-TEUJK",71,114.6,Two year,No,8100.25
"9127-FHJBZ",72,114.0,Two year,No,8093.15
"9637-CDTKZ",72,114.1,Two year,No,8086.4
"3669-WHAFY",71,115.15,Two year,No,8078.1
"9866-OCCKE",72,109.75,Two year,No,8075.35
"0619-OLYUR",72,111.9,Two year,No,8071.05
"8823-RLPWL",72,110.65,Two year,No,8065.65
"9481-IEBZY",72,112.9,Month-to-month,No,8061.5
"7602-MVRMB",72,110.45,Two year,No,8058.85
"0266-GMEAO",72,114.3,Two year,No,8058.55
"4829-ZLJTK",72,112.4,Two year,No,8046.85
"7255-SSFBC",72,112.25,Two year,No,8041.65
"4282-MSACW",68,117.2,One year,No,8035.95
"2193-SFWQW",72,111.95,Two year,No,8033.1
"5304-EFJLP",72,111.65,Two year,No,8022.85
"8029-XYPWT",71,115.05,Two year,No,8016.6
"3963-RYFNS",72,116.45,Two year,No,8013.55
"8853-TZDGH",72,111.6,Two year,No,8012.75
"5168-MQQCA",72,108.5,One year,No,8003.8
"7566-DSRLQ",72,110.15,Two year,No,7998.8
"1043-UXOVO",71,113.15,Two year,No,7993.3
"5989-AXPUC",68,118.6,Two year,No,7990.05
"0907-HQNTS",70,113.0,Two year,No,7987.6
"3508-CFVZL",71,111.3,Two year,No,7985.9
"0835-JKADZ",71,111.25,Two year,No,7984.15
